Date,Close,Volume,Open,High,Low
8/5/2024,$59.86 ,40442350,$58.70 ,$60.46 ,$58.70 
8/2/2024,$61.36 ,35230030,$62.10 ,$62.53 ,$60.84 
8/1/2024,$62.49 ,37205730,$62.93 ,$64.67 ,$61.76 
7/31/2024,$62.84 ,31348770,$62.66 ,$63.36 ,$62.26 
7/30/2024,$62.26 ,34966090,$63.02 ,$63.47 ,$61.70 
7/29/2024,$62.70 ,24005370,$63.46 ,$63.46 ,$62.39 
7/26/2024,$63.14 ,31206590,$64.50 ,$64.70 ,$62.98 
7/25/2024,$63.41 ,45545390,$64.10 ,$65.00 ,$62.17 
7/24/2024,$63.60 ,48881630,$63.57 ,$65.24 ,$63.27 
7/23/2024,$64.28 ,24635790,$64.75 ,$64.99 ,$64.10 
7/22/2024,$64.75 ,52190770,$63.95 ,$65.63 ,$63.26 
7/19/2024,$63.33 ,98156310,$66.06 ,$67.90 ,$62.91 
7/18/2024,$64.30 ,75757630,$65.66 ,$65.70 ,$63.92 
7/17/2024,$64.75 ,40172770,$65.00 ,$65.05 ,$63.95 
7/16/2024,$65.63 ,26857060,$66.18 ,$66.37 ,$64.91 
7/15/2024,$65.65 ,32087630,$64.75 ,$66.75 ,$64.66 
